USA;eaa;China;financevol;2.19072;100;-100;0;;100;-89.2139;10.7861;
USA;financewho;China;differentiation;1.7956;80;-80;0;;80;-50.4852;29.5148;
USA;adaptlegal;Arabstates;financevol;1.38726;30;48.678;78.678;;100;-100;0;
USA;adaptinst;LDC;legal;1.35579;40;50;90;;100;-57.5425;42.4575;
China;adaptfinance;LDC;eaa;1.21478;50;39.179;89.179;;90;-90;0;
India;mrv;EU28;eaa;1.12741;0;100;100;;100;-76.8176;23.1824;
Japan;financewho;Arabstates;differentiation;1.11947;80;-71.40784;8.59216;;100;-75;25;
Russia;adaptlegal;LDC;differentiation;1.08877;0;80;80;;60;-43.5856;16.4144;
Arabstates;legal;AOSIS;financewho;1.07494;0;89.6546;89.6546;;60;-60;0;
USA;amb2050;AOSIS;ld;0.979799;30;48.6634;78.6634;100;100;-100;0;0
Arabstates;mrv;EU28;adaptlegal;0.966921;0;55.5216;55.5216;;40;40;80;
USA;adaptfinance;India;ld;0.964933;0;44.1315;44.1315;;90;-90;0;
China;adaptlegal;AILAC;eaa;0.961832;50;30;80;;100;-67.699;32.301;
USA;progress;AOSIS;legal;0.942857;40;45.4549;85.4549;;100;-60;40;
China;ld;USA;mrv;0.908834;50;-50;0;;70;-49.269;20.731;
Russia;adaptfinance;India;differentiation;0.800154;0;100;100;;90;-31.0922;58.9078;
Japan;adaptlegal;AILAC;ld;0.758094;40;40;80;;75;-46.8972;28.1028;
Russia;adaptinst;India;differentiation;0.723921;0;90;90;;58.9078;-42.5041;16.4037;
USA;amb2100;LDC;ld;0.664617;80;20;100;;90;-26.8254;63.1746;
Brazil;adaptlegal;AILAC;progress;0.641221;40;40;80;;80;-47.256;32.744;
AOSIS;differentiation;Arabstates;ld;0.605284;40;60;100;;20;63.8251;83.8251;0
India;financewho;EU28;adaptfinance;0.595315;0;53.6315;53.6315;80;40;60;100;100
China;legal;AOSIS;mrv;0.5784;20;50.6483;70.6483;;80;-80;0;
China;legal;EIG;eaa;0.565399;70.6483;27.4782;98.1265;;100;-100;0;
Japan;amb2100;LDC;ld;0.546906;70;30;100;;63.1746;-24.8136;38.361;
Russia;progress;Africangroup;differentiation;0.530616;30;70;100;;70;-49.4845;20.5155;
EU28;differentiation;Brazil;mrv;0.517947;30;34.1231;64.1231;;50;50;100;
Arabstates;mrv;EIG;financewho;0.51338;55.5216;27.5232;83.0448;;60;-60;0;
Umbrella;adaptinst;Africangroup;financewho;0.476447;40;50;90;;0;74.4363;74.4363;
China;adaptfinance;AILAC;financewho;0.459366;89.179;9.7091;98.8881;;60;-60;0;
Russia;financewho;EU28;legal;0.451933;0;80;80;;100;-27.9088;72.0912;
Russia;ld;LDC;financevol;0.447079;0;90;90;;100;-29.5562;70.4438;
EIG;financevol;AOSIS;amb2050;0.433804;20;80;100;;100;-18.3705;81.6295;
Brazil;adaptfinance;AOSIS;progress;0.425267;50;50;100;;100;-39.2588;60.7412;
China;financewho;LDC;mrv;0.42271;0;24.9911;24.9911;;70;-70;0;
Umbrella;adaptlegal;AILAC;differentiation;0.39084;40;40;80;;50;-19.3714;30.6286;
USA;adaptfinance;India;financevol;0.37259;44.1315;55.8685;100;;100;-97.85937;2.14063;
Japan;eaa;India;adaptfinance;0.371134;60;-60;0;;100;-29.9244;70.0756;
USA;differentiation;Brazil;ld;0.367909;20;17.7562;37.7562;;50;-50;0;
EU28;amb2100;LDC;amb2050;0.354213;80;15.4422;95.4422;;80;-15;65;
India;financewho;Umbrella;eaa;0.329897;53.6315;19.8134;73.4449;;60;-60;0;
Africangroup;mrv;EIG;adaptlegal;0.322822;50;29.6901;79.6901;;40;40;80;
Japan;adaptinst;LDC;ld;0.304695;40;50;90;;38.361;-36.01554;2.34546;
EIG;differentiation;Brazil;legal;0.302642;40;40;80;;50;33.3579;83.3579;
Japan;financevol;Africangroup;ld;0.295082;0;31.098;31.098;;70;-70;0;
AILAC;legal;EU28;adaptinst;0.28125;50;50;100;;50;25.1988;75.1988;
USA;progress;Africangroup;legal;0.27551;85.4549;10.8227;96.2776;;80;-40;40;
Japan;progress;India;adaptfinance;0.254569;50;-50;0;;70.0756;-39.6832;30.3924;
USA;differentiation;Brazil;financevol;0.241153;37.7562;13.7589;51.5151;;50;-50;0;
Russia;eaa;AOSIS;financevol;0.24055;0;100;100;;100;-37.9846;62.0154;
India;legal;Umbrella;progress;0.226284;20;30.1712;50.1712;;50;-50;0;
USA;amb2050;AILAC;ld;0.207573;78.6634;5.7274;84.3908;;28.1028;-28.1028;0;
India;legal;EIG;progress;0.18083;50.1712;49.8288;100;;80;-76.51368;3.48632;
China;financewho;Umbrella;mrv;0.179652;24.9911;21.2424;46.2335;;70;-70;0;
USA;mrv;China;differentiation;0.179021;20.731;-10.0921;10.6389;;29.5148;-9.5148;20;
Japan;amb2050;AOSIS;adaptfinance;0.175717;60;40;100;;100;-49.588;50.412;
Japan;financevol;LDC;adaptfinance;0.172904;31.098;68.902;100;;100;-59.748;40.252;
Arabstates;progress;EU28;financewho;0.170378;0;65;65;;80;-28.652;51.348;
China;financewho;EU28;eaa;0.168042;46.2335;10.1556;56.3891;;23.1824;-23.1824;0;
China;progress;AOSIS;eaa;0.164988;0;47.3927;47.3927;;100;-100;0;
Arabstates;adaptfinance;Africangroup;adaptinst;0.157343;50;34.5657;84.5657;;90;-60;30;
China;financevol;USA;mrv;0.152685;10.7861;-10.7861;0;;10.6389;-6.79911;3.83979;
Arabstates;mrv;Japan;financewho;0.145104;83.0448;14.1891;97.2339;;8.59216;-8.59216;0;
Russia;mrv;AILAC;differentiation;0.144524;50;12.3875;62.3875;;30.6286;-15.6286;15;
Arabstates;eaa;AOSIS;adaptinst;0.144356;0;93.35;93.35;;80;-50;30;
Umbrella;financevol;Africangroup;adaptfinance;0.141923;0;52.2981;52.2981;;100;-70;30;
USA;financevol;Africangroup;amb2050;0.14094;0;19.9128;19.9128;;100;-70;30;
Russia;mrv;EU28;legal;0.131868;62.3875;37.6125;100;;72.0912;-20.6852;51.406;
EU28;differentiation;Brazil;adaptinst;0.129935;64.1231;8.0142;72.1373;;70;-20;50;
USA;financevol;ALBA;ld;0.122116;19.9128;3.7665;23.6793;;100;-100;0;
Arabstates;adaptfinance;AILAC;eaa;0.119199;84.5657;14.1912;98.7569;;32.301;-32.301;0;
Brazil;financewho;LDC;progress;0.113278;0;51.6504;51.6504;;100;-70;30;
EU28;differentiation;Brazil;legal;0.109182;72.1373;7.8627;80;;83.3579;14.6363;97.9942;
ALBA;mrv;EU28;financevol;0.108808;0;100;100;;0;2.87923;2.87923;
China;progress;Africangroup;eaa;0.108601;47.3927;19.7024;67.0951;;100;-100;0;
USA;amb2050;AOSIS;financevol;0.10138;84.3908;15.6092;100;;62.0154;-33.0285;28.9869;
Arabstates;adaptinst;AILAC;progress;0.0997425;30;17.6192;47.6192;;32.744;-32.744;0;
China;adaptinst;Japan;mrv;0.0959041;60;-20;40;;100;-24.9122;75.0878;
Russia;financevol;ALBA;differentiation;0.0954406;0;5.77496;5.77496;;80;-65;15;
Africangroup;mrv;EU28;financevol;0.0907524;79.6901;20.3099;100;;2.87923;6.13703;9.01626;
AILAC;financevol;ALBA;progress;0.086432;20;9.6213;29.6213;;0;80;80;
Arabstates;ld;AOSIS;progress;0.0836699;83.8251;16.1749;100;;60.7412;-8.0787;52.6625;
EU28;financevol;ALBA;financewho;0.0818441;9.01626;6.64154;15.6578;;0;80;80;
EU28;adaptinst;AILAC;amb2050;0.0759157;75.1988;4.8012;80;;90;-5.4317;84.5683;
Arabstates;legal;EIG;adaptinst;0.068532;89.6546;10.3454;100;;60;-6.087;53.913;
Umbrella;financevol;ALBA;adaptfinance;0.0680946;52.2981;7.1808;59.4789;;100;-70;30;
Umbrella;financevol;AOSIS;adaptfinance;0.0590703;59.4789;35.3091;94.788;;50.412;-20.412;30;
EU28;adaptinst;India;financewho;0.0587693;80;7.0033;87.0033;;73.4449;6.5551;80;
EU28;amb2100;LDC;financevol;0.0579959;95.4422;4.5578;100;;70.4438;-7.1449;63.2989;
AILAC;financevol;ALBA;eaa;0.0501022;29.6213;12.5565;42.1778;;0;100;100;
Arabstates;progress;LDC;adaptinst;0.048738;65;35;100;;90;-22.2832;67.7168;
Russia;ld;AOSIS;financevol;0.0440305;90;10;100;;28.9869;-3.1527;25.8342;
EIG;adaptfinance;AILAC;amb2100;0.0427894;40;17.7433;57.7433;;90;-10;80;
EIG;adaptfinance;Africangroup;amb2100;0.0424956;57.7433;10.4128;68.1561;;90;-10;80;
USA;progress;LDC;legal;0.0397705;96.2776;1.6969;97.9745;;42.4575;-2.4575;40;
Japan;differentiation;Brazil;adaptinst;0.0394899;25;3.8058;28.8058;;50;-10;40;
USA;financevol;ALBA;legal;0.034654;23.6793;0.4612;24.1405;;70;-30;40;
Russia;financevol;Africangroup;differentiation;0.0337563;5.77496;3.25451;9.02947;;20.5155;-5.5155;15;
EU28;financevol;AOSIS;amb2050;0.0327066;15.6578;4.3764;20.0342;;81.6295;-3.1106;78.5189;
India;eaa;AOSIS;progress;0.0311665;0;55.4247;55.4247;;52.6625;-52.6625;0;
EU28;financevol;Africangroup;financewho;0.029947;20.0342;1.2537;21.2879;;74.4363;5.5637;80;
USA;adaptlegal;Arabstates;differentiation;0.0289698;78.678;1.322;80;;25;-0.9886;24.0114;
EIG;adaptfinance;AILAC;amb2050;0.0289464;68.1561;7.7353;75.8914;;84.5683;-5.0074;79.5609;
AILAC;financevol;India;progress;0.0225091;42.1778;57.8222;100;;0;21.5525;21.5525;
USA;financevol;ALBA;adaptfinance;0.0195941;24.1405;1.0678;25.2083;;30;-30;0;
China;adaptfinance;AILAC;mrv;0.0193911;98.8881;1.1119;100;;85;-2.109;82.891;
Russia;financevol;LDC;differentiation;0.0191254;9.02947;1.16143;10.1909;;16.4144;-1.4144;15;
Arabstates;mrv;EU28;financewho;0.0183744;97.2339;2.7661;100;;51.348;-0.7449;50.6031;
USA;progress;LDC;ld;0.0182716;97.9745;2.0255;100;;2.34546;-2.3099441;0.0355159;
Russia;financevol;ALBA;adaptinst;0.017982;10.1909;4.9401;15.131;;70;-70;0;
Umbrella;differentiation;Brazil;financewho;0.016197;25;42.1458;67.1458;;51.6504;28.3496;80;
India;progress;Africangroup;legal;0.015553;21.5525;5.3777;26.9302;;40;-20;20;
Russia;financevol;China;differentiation;0.015012;15.131;15.3418;30.4728;;20;-5;15;
Brazil;eaa;India;adaptlegal;0.0144637;90;-36.6491;53.3509;;70;-30;40;
China;financewho;LDC;progress;0.0138809;56.3891;3.6109;60;;30;-7.9746;22.0254;
EU28;adaptinst;India;progress;0.0134715;87.0033;2.9967;90;;26.9302;2.6201;29.5503;
China;legal;EIG;progress;0.0128006;98.1265;1.5194;99.6459;;3.48632;-3.48632;0;
Russia;financevol;India;differentiation;0.0127535;30.4728;2.2471;32.7199;;16.4037;-1.4037;15;
Umbrella;financevol;LDC;adaptfinance;0.00871945;94.788;5.212;100;;40.252;-3.013;37.239;
AILAC;adaptfinance;Japan;legal;0.00870536;100;-22.296;77.704;;70;-20;50;
ALBA;progress;LDC;financewho;0.00860083;80;20;100;;60;-0.9987;59.0013;
Brazil;legal;EU28;progress;0.00752166;97.9942;2.0058;100;;65;-0.9603;64.0397;
Arabstates;adaptfinance;ALBA;legal;0.00628079;98.7569;1.0054;99.7623;;40;-40;0;
India;financevol;Japan;legal;0.00406433;2.14063;-2.14063;0;;50;-2.3344;47.6656;
China;legal;EIG;mrv;0.00205482;99.6459;0.3541;100;;85;-0.7006;84.2994;
India;adaptfinance;Japan;legal;0.000901127;30.3924;-0.3924;30;;47.6656;-0.5176;47.148;
Arabstates;adaptfinance;India;adaptinst;0.000698917;99.7623;0.2377;100;;90;-0.1666;89.8334;
USA;financevol;LDC;ld;0.000184317;25.2083;0.0241;25.2324;;0.0355159;-0.0355159;0;
EIG;amb2100;AOSIS;amb2050;0;80;0;80;;78.5189;0;78.5189;
