Actor;Inner Positive;Inner Negative;Outer Positive;Outer Negative;Own
50+;0;0;0;0;0
CDA;0;-2.016588635515953184988913118;5.394906853115930112104532156;0;0
CU;2.098652983030298394560748238;-0.628804472807878852360835649;0;0;0
D66;0;0;0;0;2.319830882310328616828748486
GL;1.756481301014488873708452330;-0.314402236403939426180417816;0;0;0
PVV;0;-2.201304487635041250816437010;0;0;1.886413418423636557082506970
PvdA;1.306700114249787036652075980;0;0;0;0
PvdD;2.479511000584373059893153234;0;0;0;0
SGP;0;-0.585729360114236744890347919;6.288044728078788523608356620;0;0
SP;2.056009536985979920043695120;0;0;0;0
VVD;0;-2.829620127635454835623760493;0;0;0.433417463886692059746241484

Connections
first;second;inner pos;inner neg;outer pos;outer neg;own;ally pos;ally neg
hypotheek;ontwikkeling;6.238930335421593596873528729;-2.787033847749277995706784929;5.394906853115930112104532156;0;0.866834927773384119492482968
hypotheek;vreemd;3.458424600443333687984596173;-5.789415472363226299153927076;6.288044728078788523608356620;0;3.772826836847273114165013972

Realizations
first;supply;second;supply ;inner pos;inner neg;outer pos;outer neg;own;ally pos;ally neg
D66;vreemd;PVV;hypotheek;3.458424600443333687984596173;-5.789415472363226299153927076;6.288044728078788523608356620;0;3.772826836847273114165013972
VVD;ontwikkeling;D66;hypotheek;6.238930335421593596873528729;-2.787033847749277995706784929;5.394906853115930112104532156;0;0.866834927773384119492482968
