Actor I;Supply I;Actor J;Supply J
SP;10;10;10;10;10;10;10;10;10;10;10
CU;80;80;80;80;80;71.05265942330541641925534089;71.05265942330541641925534089;71.05265942330541641925534089;65.14741464268699142483410566;65.14741464268699142483410566;56.22027085203091875143074635
CDA;90;90;90;90;90;90;90;90;90;90;90
D66;85;85;85;85;85;85;85;85;85;85;85
PvdD;40;40;40;40;40;40;40;40;40;40;40
PvdA;65;65;65;65;65;65;65;65;65;65;65
PVV;0;0;0;0;0;0;0;0;0;0;0
GL;75;75;75;75;75;75;75;75;75;75;75
VVD;100;100;100;100;100;100;100;100;100;100;100
SGP;90;90;90;90;90;90;90;90;90;90;90
nbs;61.61579197484940592563332300;61.61579197484940592563332300;61.61579197484940592563332300;61.61579197484940592563332300;60.99636135348166736584799326;60.99636135348166736584799326;60.99636135348166736584799326;60.58753714337895992808068002;60.58753714337895992808068002;59.96950475957893535327859888
