Actor I;Supply I;Actor J;Supply J
SP;80;80;80;70.99999999999999950039963893;70.99999999999999950039963893;70.99999999999999950039963893;70.99999999999999950039963893;70.99999999999999950039963893;70.99999999999999950039963893;70.99999999999999950039963893;70.99999999999999950039963893
CU;75;75;75;75;75;75;75;75;75;75;75
CDA;50;50;50;50;50;50;50;50;50;50;50
D66;0;0;0;0;0;0;0;0;0;0;0
PvdD;70;70;70;70;70;70;70;70;70;70;70
PvdA;30;30;30;30;30;30;30;30;30;32.35952262527177809944941879;32.35952262527177809944941879
PVV;100;100;100;100;100;100;100;100;100;100;100
GL;10;10;10;10;10;10;10;10;10;10;10
VVD;60;60;60;60;60;60;60;60;60;60;60
SGP;80;80;80;80;80;80;80;80;80;80;80
nbs;52.79836663826379391835292534;52.79836663826379391835292534;52.12626240434905839225506834;52.12626240434905839225506834;52.12626240434905839225506834;52.12626240434905839225506834;52.12626240434905839225506834;52.12626240434905839225506834;52.53816187798267945515026280;52.53816187798267945515026280
