Actor I;Supply I;Actor J;Supply J
SP;0;0;0;0;0;0;0;0;0;0;0
CU;55;55;55;55;55;55;55;55;55;55;55
CDA;100;100;100;100;100;100;66.46226278873226519783354580;66.46226278873226519783354580;66.46226278873226519783354580;66.46226278873226519783354580;66.46226278873226519783354580
D66;75;75;75;75;75;75;75;75;75;75;75
PvdD;45;45;45;45;45;45;45;45;45;45;45
PvdA;20;20;20;20;20;20;20;20;20;29.42923156005703912689146685;29.42923156005703912689146685
PVV;60;60;60;60;60;60;60;60;60;60;37.19999999999999873434575193
GL;10;10;10;10;10;10;10;10;10;10;10
VVD;60;60;60;60;60;60;60;60;60;60;60
SGP;60;60;60;60;60;60;60;60;60;60;60
nbs;45.96638508484861009786494991;45.96638508484861009786494991;45.96638508484861009786494991;45.96638508484861009786494991;45.96638508484861009786494991;43.21798685018205823870772090;43.21798685018205823870772090;43.21798685018205823870772090;44.66677809093688794882833757;43.49093815091760392335333172
