Actor I;Supply I;Actor J;Supply J
SP;65;65;65;65;65;65;65;65;65;65;65
CU;90;90;90;90;90;90;90;90;90;90;90
CDA;55;55;55;55;55;55;55;55;55;55;55
D66;90;90;90;90;90;90;90;90;90;90;90
PvdD;100;100;100;100;100;100;100;100;100;100;100
PvdA;75;75;75;75;75;75;75;75;75;75;75
PVV;0;0;0;33.35137223004756416222247897;33.35137223004756416222247897;52.61190567183139341624122081;52.61190567183139341624122081;52.61190567183139341624122081;65.32385774340872036037429963;65.32385774340872036037429963;65.32385774340872036037429963
GL;100;100;100;100;100;100;100;100;100;100;100
VVD;30;30;30;30;30;30;30;30;42.51178684011103516402597187;42.51178684011103516402597187;42.51178684011103516402597187
SGP;25;25;25;25;25;25;25;25;25;25;25
nbs;66.61897959562282512767643465;66.61897959562282512767643465;68.89825603589025544326876166;68.89825603589025544326876166;70.21454610629669988281258733;70.21454610629669988281258733;70.21454610629669988281258733;72.87661741209525362406170980;72.87661741209525362406170980;72.87661741209525362406170980
