Actor I;Supply I;Actor J;Supply J
SP;90;90;90;90;90;66.59999999999999870103906119;66.59999999999999870103906119;66.59999999999999870103906119;66.59999999999999870103906119;66.59999999999999870103906119;66.59999999999999870103906119
CU;100;100;100;100;100;100;100;100;73.99999999999999855671006799;73.99999999999999855671006799;73.99999999999999855671006799
CDA;10;10;10;10;10;10;10;10;10;10;10
D66;85;85;85;85;85;85;85;82.92726355798170520148542068;82.92726355798170520148542068;82.92726355798170520148542068;82.92726355798170520148542068
PvdD;70;70;70;70;70;70;70;70;70;70;70
PvdA;75;75;75;75;75;75;75;75;75;75;75
PVV;0;0;0;0;20.40000000000000113242748512;20.40000000000000113242748512;20.40000000000000113242748512;35.90400000000000172128977738;35.90400000000000172128977738;35.90400000000000172128977738;45.04704000000000146933132329
GL;80;80;80;80;80;80;80;80;80;80;80
VVD;0;0;0;0;0;0;0;0;0;0;0
SGP;90;90;90;90;90;90;90;90;90;90;90
nbs;50.84091350762240100618851816;50.84091350762240100618851816;50.84091350762240100618851816;52.82661184280517647447063155;50.72410772319988480217192327;50.72410772319988480217192327;51.95950111232614649973420139;50.33972833615684288012709528;50.33972833615684288012709528;51.22969496882887826784209210
