Actor I;Supply I;Actor J;Supply J
SP;80;80;80;80;80;80;80;80;80;80;80
CU;70;70;70;70;70;70;70;70;70;70;70
CDA;70;70;70;70;70;70;70;70;70;70;70
D66;70;70;70;70;70;70;70;70;70;70;70
PvdD;100;100;100;100;100;100;100;100;100;100;100
PvdA;70;70;70;70;70;70;70;70;70;70;70
PVV;0;0;0;0;0;0;0;0;0;0;0
GL;80;80;80;80;80;80;80;80;80;80;80
VVD;25;25;25;25;25;25;25;40.30000000000000084932061384;40.30000000000000084932061384;40.30000000000000084932061384;40.30000000000000084932061384
SGP;60;60;60;60;60;60;60;60;60;60;60
nbs;57.43659631394382899320881274;57.43659631394382899320881274;57.43659631394382899320881274;57.43659631394382899320881274;57.43659631394382899320881274;57.43659631394382899320881274;58.91021569115858207814834191;58.91021569115858207814834191;58.91021569115858207814834191;58.91021569115858207814834191
