Actor I;Supply I;Actor J;Supply J
SP;10;10;25.30000000000000084932061383;25.30000000000000084932061383;25.30000000000000084932061383;25.30000000000000084932061383;43.89800000000000159294799573;43.89800000000000159294799573;43.89800000000000159294799573;43.89800000000000159294799573;56.45299304869307584900592539
CU;25;25;25;25;25;25;25;25;25;25;25
CDA;55;55;55;55;55;55;55;55;55;55;55
D66;20;20;20;20;38.44047769482074396708175449;38.44047769482074396708175449;38.44047769482074396708175449;52.45524074288450913638737284;52.45524074288450913638737284;52.45524074288450913638737284;52.45524074288450913638737284
PvdD;30;30;30;30;30;30;30;30;30;30;30
PvdA;20;20;20;20;20;20;20;20;20;20;20
PVV;100;100;100;100;100;100;100;100;100;100;100
GL;0;0;0;0;0;0;0;0;0;0;0
VVD;80;80;80;80;80;80;80;80;80;61.99999999999999900079927784;61.99999999999999900079927784
SGP;65;65;65;65;65;65;65;65;65;65;65
nbs;45.20102140284642840033867341;46.29317206745571026863417846;46.29317206745571026863417846;48.27887040263848573691629186;48.27887040263848573691629186;49.60644021050799056509802640;51.11557094524689989453761644;51.11557094524689989453761644;48.86994452207691384385066059;49.76615001242299582038229273
