Actor I;Supply I;Actor J;Supply J
SP;100;100;100;100;100;100;100;100;100;100;100
CU;30;30;30;30;30;30;30;30;30;49.20000000000000106581410364;49.20000000000000106581410364
CDA;45;45;45;45;45;45;45;45;45;45;45
D66;20;20;20;20;20;20;20;20;20;20;20
PvdD;90;90;90;90;90;90;-8.71378459321290043536792607;-8.71378459321290043536792607;-8.71378459321290043536792607;-8.71378459321290043536792607;-8.71378459321290043536792607
PvdA;90;90;90;90;90;90;90;90;90;90;90
PVV;55;55;55;55;55;55;55;55;55;55;55
GL;70;70;-106.1930270667802120625170638;-57.83511894674614575935879377;-57.83511894674614575935879377;-57.83511894674614575935879377;-57.83511894674614575935879377;-57.83511894674614575935879377;-57.83511894674614575935879377;-57.83511894674614575935879377;-57.83511894674614575935879377
VVD;0;0;0;0;0;0;0;0;0;0;0
SGP;60;60;60;60;60;60;60;60;60;60;60
nbs;53.88523134505072180041496943;46.27582166528174007664561481;48.36429894652225880473360678;48.36429894652225880473360678;48.36429894652225880473360678;45.38487593270982287625591503;45.38487593270982287625591503;45.38487593270982287625591503;46.26969702421908293729003646;46.26969702421908293729003646
