actor_name;supply;gain;highest;actor_name;supply;gain;highest;supply;move;y;demand;supply;move;y;demand;dp;dq;nbs_0;nbs_1;nbs_0;nbs_1
PVV;duur;3.261164261438910738633012443;True;PvdD;vreemd;1.621913357274135414343163575;False;0;39.01480495581930885758073108;39.01480495581930885758073108;100;30;70;100;100;4.5554667371144308418706714292056858539581298828125;2.666322847049496402860313537530601024627685546875;66.61897959562282512767643465;69.28530244267232153053674818;45.20102140284642840033867341;46.47737664822048435896152354
CDA;duur;0.5959942896904685483150387883;False;PvdD;vreemd;1.832537497798357128964141793;True;55;38.17167827212176429268565114;93.17167827212176429268565114;100;30;25;55;55;2.65144811086793463772437462466768920421600341796875;2.487186442075730585798964966670610010623931884765625;66.61897959562282512767643465;69.10616603769855571347539963;45.20102140284642840033867341;45.65686256190859124270397703
PVV;ontwikkeling;0.9933755040047896223143197861;False;SGP;huur;1.226688500021551320173784916;True;0;15.73766373337598959540890663;15.73766373337598959540890663;60;50;-50;0;0;1.28637915635172550565812343847937881946563720703125;2.30371749561009853124460278195329010486602783203125;57.43659631394382899320881274;59.74031380955392752445341553;41.61925375546712808571343878;39.97380664389032138821594794
PVV;duur;0.9526089917866853551409178637;False;D66;hypotheek;1.206152100156310413847648988;True;0;12.64448342279899335769449488;12.64448342279899335769449488;90;85;-85;0;0;1.9973310954773151326691049689543433487415313720703125;0.864140550683923702735000915708951652050018310546875;66.61897959562282512767643465;67.48312014630674883041143556;50.84091350762240100618851816;39.61533079223456640778242322
PvdA;vreemd;1.173610514778662805568387739;True;SGP;huur;0.9187431048673466049692137856;False;20;12.65091031800500029848763719;32.65091031800500029848763719;65;50;-10;40;40;0.8180165700894284075417317581013776361942291259765625;2.328296151788350254463466626475565135478973388671875;45.20102140284642840033867341;47.52931755463477865480214003;41.61925375546712808571343878;41.29016433315176674621394062
PvdD;vreemd;0.6426751249905246154980886786;False;VVD;hypotheek;1.155781844797110702316444986;True;30;29.84450256899548250329606222;59.84450256899548250329606222;80;0;70;70;70;1.503019892264002788095922369393520057201385498046875;0.5441741057073838927493625305942259728908538818359375;45.20102140284642840033867341;45.74519550855381229308803594;50.84091350762240100618851816;64.76463286009567005048767825
CDA;duur;0.1342097095392456251872204120;False;GL;huur;1.152065713983895189898021271;True;55;28.40249987019121164864483601;83.40249987019121164864483601;100;40;10;50;50;1.2120984055682717528412695173756219446659088134765625;1.850647280808453754019637926830910146236419677734375;66.61897959562282512767643465;68.46962687643127888169607259;41.61925375546712808571343878;42.16773612599273031821260240
CU;zorg;0.9520894564101488266594230935;True;SP;AOW;0.9068771093304739516760548669;False;30;18.53341834724484568829417545;48.53341834724484568829417545;100;10;70;80;80;1.909193401503569642585489418706856667995452880859375;0.8541020547607776070009322211262769997119903564453125;53.88523134505072180041496943;54.73933339981149940741590164;61.61579197484940592563332300;70.60210333096572859099839607
CDA;duur;0.9246015275848231906863361470;True;PvdD;hypotheek;0.786953066781481291869226879;False;55;31.51864726802678529507953236;86.51864726802678529507953236;100;70;-60;10;10;2.328102786181803995901873349794186651706695556640625;2.0536889051288245156001721625216305255889892578125;66.61897959562282512767643465;68.67266850075164964327660680;50.84091350762240100618851816;48.54580405350351437001854260
PVV;belasting;1.692243268471239381334214614;False;SP;vreemd;1.218540805860055020737320319;True;60;-51.74093518847846270221363801;8.25906481152153729778636199;0;10;90;100;100;2.623954938121556335062223297427408397197723388671875;2.668379742480797123249658397980965673923492431640625;45.96638508484861009786494991;43.29800534236781297461529151;45.20102140284642840033867341;51.62543707701867432780316957
SGP;duur;0.141621424333727752298273117;False;PvdD;vreemd;1.805072639412242674339381665;False;25;53.77467992108542869711686138;78.77467992108542869711686138;100;30;35;65;65;2.459280625591040436717094053165055811405181884765625;2.41781975213731659124505313229747116565704345703125;66.61897959562282512767643465;69.03679934776014171892148779;45.20102140284642840033867341;45.83919902553345637965009847
CDA;duur;0.6688934138248531668935470406;False;PvdD;zorg;1.366839866727385688349727389;False;55;35.90823851623818842068942778;90.90823851623818842068942778;100;90;-45;45;45;2.139700796062560694821286233491264283657073974609375;2.33970545805516838555604408611543476581573486328125;66.61897959562282512767643465;68.95868505367799351323247874;53.88523134505072180041496943;52.52702148435029514150501428
PVV;belasting;1.264282353132171654586102250;False;GL;vreemd;0.430200829660955408328959493;False;60;-35.41597303406927668735976820;24.58402696593072331264023180;10;0;100;100;100;1.9076035241848980916756772785447537899017333984375;1.8264699828116051083526372167398221790790557861328125;45.96638508484861009786494991;44.13991510203700498951231269;45.20102140284642840033867341;53.54996236406715366925546828
PvdD;ontslag;1.250376355071781020456000988;False;VVD;duur;0.205196721579394858459011175;False;30;53.26877094805741378831465683;83.26877094805741378831465683;100;30;70;100;100;2.017442450119421692988908034749329090118408203125;1.665484931354173969708654112764634191989898681640625;45.65208526363549625570619116;47.31757019498967022541484527;66.61897959562282512767643465;76.65211009547131840881724933
PVV;duur;1.234599527141781005745713174;False;CU;AOW;0.214962328431897331526556627;False;0;20.11976922535101893134676012;20.11976922535101893134676012;90;80;-80;0;0;1.878530604876387233304058099747635424137115478515625;1.3750113687269671647328550534439273178577423095703125;66.61897959562282512767643465;67.99399096434979229240928970;61.61579197484940592563332300;56.07733624214877508645117212
PVV;duur;1.234266455801405837355844142;False;GL;vreemd;0.024367058941094277280114966;False;0;24.22238685624731354402360994;24.22238685624731354402360994;100;0;100;100;100;1.996234007613558514293572443420998752117156982421875;1.655389628578686878057624198845587670803070068359375;66.61897959562282512767643465;68.27436922420151200573405885;45.20102140284642840033867341;53.54996236406715366925546828
