actor_name;supply;gain;highest;actor_name;supply;gain;highest;supply;move;y;demand;supply;move;y;demand;dp;dq;nbs_0;nbs_1;nbs_0;nbs_1
SP;AOW;1.275036400136404046712357285;True;SGP;huur;1.080805281817470264726921414;True;10;18.52602481523603225911298170;28.52602481523603225911298170;90;50;-50;0;0;1.153905075299337834593416118877939879894256591796875;2.3782946740121193585082437493838369846343994140625;61.61579197484940592563332300;63.99408664886152528414156674;41.61925375546712808571343878;39.97380664389032138821594794
D66;zorg;0.8182717877813425189081897316;True;PvdD;AOW;0.3931891285816826675514334965;False;20;12.36596483646195223875046291;32.36596483646195223875046291;90;40;45;85;85;1.7358775035119713425757481672917492687702178955078125;1.186874057935757509341101467725820839405059814453125;53.88523134505072180041496943;55.07210540298647930975607090;61.61579197484940592563332300;63.25538412402245648462231347
PvdA;belasting;0.7789454824853189185418500531;True;CU;zorg;0.0454471770212766967844686405;False;20;8.709564230099117483102647682;28.70956423009911748310264768;55;30;60;90;90;1.83198368779243470072515265201218426227569580078125;1.338215133119803557093518975307233631610870361328125;45.96638508484861009786494991;47.30460021796841365495846889;53.88523134505072180041496943;56.65029725601715933765460699
VVD;ontslag;1.405359122449325304238243462;True;PvdD;vreemd;0.6875056839619037685196190068;False;100;-11.49043178780625907609914781;88.50956821219374092390085219;30;30;50;80;80;0.7412060795962693848792923745349980890750885009765625;2.0893672497028941137386937043629586696624755859375;45.65208526363549625570619116;43.56271801393260214196749747;45.20102140284642840033867341;46.11270372097075408506928064
CDA;ontslag;1.068663844679485386279793601;True;PvdD;vreemd;0.1798920163986513109932730004;False;55;-10.07311328968062608918735642;44.92688671031937391081264358;30;30;25;55;55;2.662752733605028065966280337306670844554901123046875;0.881646325805885755499957667780108749866485595703125;45.65208526363549625570619116;44.77043893782961050020623350;45.20102140284642840033867341;45.65686256190859124270397703
PVV;belasting;1.726545174505620616756118579;True;SP;vreemd;1.268754153080947189025096122;False;60;-53.47333484121612550543111202;6.52666515878387449456888798;0;10;90;100;100;2.68827584618772608138215218787081539630889892578125;2.75772293124239720185641999705694615840911865234375;45.96638508484861009786494991;43.20866215360621289600852990;45.20102140284642840033867341;51.62543707701867432780316957
PVV;duur;0.6871716315118077234025406599;False;CU;huur;0.7889884583001385287559514835;True;0;28.81958507778682259366825176;28.81958507778682259366825176;90;50;-50;0;0;1.9666652012034127050554843663121573626995086669921875;1.9695681734768795134726815376779995858669281005859375;66.61897959562282512767643465;68.58854776909970464114911618;41.61925375546712808571343878;39.01806335300539310755669332
CDA;duur;0.1857491573254760997002676962;False;GL;zorg;1.496163005809894497311063333;True;55;36.38431385338820644688766621;91.38431385338820644688766621;100;70;-25;45;45;1.51205249128421481685791150084696710109710693359375;2.370725527844212532357914824387989938259124755859375;66.61897959562282512767643465;68.98970512346703766003434947;53.88523134505072180041496943;52.80553344121641121721167700
PVV;duur;1.660052561541018301127792256;False;PvdD;vreemd;3.370325915398726968064124776;True;0;62.86736241368493725599209048;62.86736241368493725599209048;100;30;70;100;100;3.55645021230815583379580857581458985805511474609375;4.29643785037932435244556472753174602985382080078125;66.61897959562282512767643465;70.91541744600214948012199939;45.20102140284642840033867341;46.47737664822048435896152354
D66;huur;0.2908363844885434423837011762;False;PVV;hypotheek;0.2115927027836237761526660959;False;60;-11.88330909595430810359378792;48.11669090404569189640621208;0;0;85;85;85;1.2264225695715966768517546370276249945163726806640625;1.34502316400688215480840881355106830596923828125;41.61925375546712808571343878;40.27423059146024593090502997;50.84091350762240100618851816;59.11465657088396499807898818
CU;huur;0.5358935634970258821141442242;False;PVV;hypotheek;0.1650411598219584496938239227;False;50;-25.22186523604442510015696030;24.77813476395557489984303970;0;0;100;100;100;1.7679142562841370089898873629863373935222625732421875;1.31213747568364080819947048439644277095794677734375;41.61925375546712808571343878;40.30711627978348727751396830;50.84091350762240100618851816;60.57472887616541746723612995
